院校,专业名,类别,选科要求,计划数
嘉兴大学,化学工程与工艺,工学,物理、化学,10
嘉兴大学,应用化学,工学,物理、化学,10
嘉兴大学,环境工程,工学,物理、化学,10
嘉兴大学,生物工程,工学,物理、化学,10
嘉兴大学,纺织工程,工学,物理、化学,10
嘉兴大学,高分子材料与工程,工学,物理、化学,10
浙大城市学院,护理学,医学,化学,70
浙大城市学院,药学,医学,物理、化学,40
浙大城市学院,土木工程,工学,物理、化学,40
浙大城市学院,工业设计(中外合作办学),工学,物理、化学,50
浙大宁波理工学院,高分子材料与工程,工学,物理、化学,10
浙大宁波理工学院,材料科学与工程,工学,物理、化学,10
浙大宁波理工学院,化学工程与工艺,工学,物理、化学,10
浙大宁波理工学院,机械设计制造及其自动化,工学,物理、化学,8
浙大宁波理工学院,土木工程,工学,物理、化学,8
浙大宁波理工学院,工业设计,工学,物理、化学,8
浙大宁波理工学院,国际经济与贸易(中外合作办学),经济学,,8
浙大宁波理工学院,金融学(中外合作办学),经济学,,8
杭州师范大学,小学教育（经亨颐实验班）（师范）,,,70
杭州师范大学,学前教育（经亨颐实验班）（师范）,,,60
杭州师范大学,特殊教育（经亨颐实验班）（师范）,,,30
杭州师范大学,护理学,,化学,160
湖州师范大学,小学教育（师范）,师范组1,,20
湖州师范大学,数学与应用数学（师范）,师范组1,物理、化学,20
湖州师范大学,物理学（师范）,师范组1,物理、化学,20
湖州师范大学,化学（师范）,师范组2,物理、化学,15
湖州师范大学,教育技术学（师范）,师范组2,物理,15
湖州师范大学,护理学,师范组2,化学,30
湖州师范大学,水产养殖学（卓越班）,师范组2,物理、化学,20
湖州师范大学,生物工程,师范组2,物理、化学,20
湖州师范大学,电气工程及其自动化,师范组2,物理、化学,15
湖州师范大学,计算机科学与技术,非师范组1,物理、化学,15
湖州师范大学,制药工程,非师范组1,物理、化学,15
湖州师范大学,新能源材料与器件,非师范组1,物理、化学,15
湖州师范大学,数据科学与大数据技术,非师范组1,物理、化学,15
绍兴大学,学前教育(中外合作办学)(师范),教育学,,40
绍兴大学,土木工程,工学,物理、化学,20
绍兴大学,地质工程,工学,物理、化学,10
绍兴大学,纺织工程,工学,物理、化学,20
绍兴大学,轻化工程,工学,物理、化学,20
绍兴大学,药学,医学,物理、化学,25
温州大学,汉语言文学（师范）,师范类,,7
温州大学,思想政治教育（师范）,师范类,政治,7
温州大学,小学教育（师范）,师范类,,25
温州大学,学前教育（师范）,师范类,,13
温州大学,应用心理学（师范）,师范类,,15
温州大学,教育技术学（师范）,师范类,物理,7
温州大学,数学与应用数学（师范）,师范类,物理、化学,5
温州大学,物理学（师范）,师范类,物理、化学,5
温州大学,化学（师范）,师范类,物理、化学,7
温州大学,英语（师范）,师范类,,7
温州大学,历史学（师范）,师范类,,7
温州大学,生物科学（师范）,师范类,物理、化学,7
温州大学,法学,非师范类,,10
温州大学,行政管理,非师范类,,7
温州大学,国际经贸规则,非师范类,,7
温州大学,电气工程及其自动化（卓工超豪示范班）,非师范类,物理、化学,12
温州大学,电子信息科学与技术,非师范类,物理、化学,12
温州大学,集成电路设计与集成系统,非师范类,物理、化学,7
温州大学,材料科学与工程,非师范类,物理、化学,10
温州大学,应用化学,非师范类,物理、化学,10
温州大学,能源化学,非师范类,物理、化学,10
温州大学,工业工程,非师范类,物理,10
温州大学,车辆工程,非师范类,物理、化学,10
温州大学,机械工程（卓工超豪示范班）,非师范类,物理、化学,15
温州大学,智能制造工程,非师范类,物理、化学,10
温州大学,建筑学,非师范类,,15
温州大学,土木工程,非师范类,物理、化学,12
温州大学,城市地下空间工程,非师范类,物理、化学,7
温州大学,计算机科学与技术,非师范类,物理、化学,7
温州大学,数据科学与大数据技术,非师范类,物理、化学,10
温州大学,人工智能,非师范类,物理、化学,10
温州大学,网络工程（卓工超豪示范班）,非师范类,物理、化学,7
温州大学,应用统计学,非师范类,物理、化学,10
温州大学,信息与计算科学,非师范类,物理、化学,10
温州大学,生态学,非师范类,物理、化学,10
温州大学,环境工程,非师范类,物理、化学,10
温州大学,生物技术,非师范类,物理、化学,10
浙江外国语学院,汉语言文学(师范),教育学,历史,15
浙江外国语学院,小学教育(师范),教育学,,20
浙江外国语学院,西班牙语(中外合作办学)(旅游方向),文学,,25
浙江外国语学院,葡萄牙语,文学,,10
浙江外国语学院,俄语,文学,,10
浙江外国语学院,阿拉伯语,文学,,10
